state_name,state_abbr,long_name,fips,region_name,division_name,population,Sstart,CHR_pre,CHR_post,CFR_pre,CFR_post,caseavertpercapnc,caseavertpercapplus,caseavertpercapminus,totcasepercap_post,maybevax,vaxrate,deathavertpercapnc,deathavertpercapplus,deathavertpercapminus,hospavertpercapnc,hospavertpercapplus,hospavertpercapminus,Rtstart
North Carolina,NC,North Carolina NC,37,South,South Atlantic,10323231,0.774738912685054,0.0798190663031367,0.0616002641095361,0.0139824311109699,0.0121773559387283,3001.81212645537,5816.06185117818,-243.479972500858,5068.16131499915,4632600.25,0.448754876259187,41.9726312662362,81.3226841712388,-3.40444194239408,239.601841151101,464.232626522335,-19.4343440685319,1.3
North Dakota,ND,North Dakota ND,38,Midwest,West North Central,756060,0.579224492596556,0.0524466087381132,0.0789737139336688,0.0153013782112723,0.0129376732724099,1620.96923524588,3692.96087612094,-213.144459434436,2003.21403063249,331504.571428571,0.438463311679723,24.8030633373341,56.5073910849581,-3.2614039874435,85.0143392574592,193.683274155075,-11.1787040686545,1.1
Ohio,OH,Ohio OH,39,Midwest,East North Central,11642989,0.76164165487294,0.0900525010129664,0.0817822082465843,0.0212632986316978,0.0133669389779507,2147.46831762875,5150.49872502671,-771.636046379499,4723.79987647502,5477141.89285714,0.4704240374063,45.6622601398496,109.516592492422,-16.4075276891499,193.384892848576,463.81529165275,-69.4877558482313,1.1
Oklahoma,OK,Oklahoma OK,40,South,West South Central,3920534,0.710761649934221,0.129127491983375,0.104772689217221,0.00879522319715369,0.0136113381528468,1924.52099637447,3943.46790513741,-419.037304612076,5524.50252950236,1670674.67857143,0.426134470092959,16.9265917107221,34.6836803964956,-3.68552662199689,248.508569531181,509.210120307327,-54.1092361920308,1.5
Oregon,OR,Oregon OR,41,West,Pacific,4179063,0.892657084578836,0.0558928368302428,0.0562959302418262,0.014177557703284,0.00965697448895549,3886.744468796,9561.65293511967,-108.864116190639,2494.25529119805,2366925.92857143,0.566377182773131,55.104543984275,135.560886226434,-1.54342728910979,217.241174395263,534.427907330056,-6.08472428291197,1
Pennsylvania,PA,Pennsylvania PA,42,Northeast,Middle Atlantic,12759748,0.779428885254387,0.0948784155888693,0.0780315877612578,0.0219021606381019,0.0172173064854855,3047.57194264338,6380.59623121084,-824.158126006877,5560.87784805781,7635779.71428572,0.598427156577522,66.7484102439475,139.748843622847,-18.0508436669996,289.148797311097,605.380860929595,-78.1948171902242,1.1
Rhode Island,RI,Rhode Island RI,44,Northeast,New England,1054525,0.677295220571658,0.0532921823158462,0.030839866449284,0.0233683111215296,0.00983150104926839,5473.31737038003,6962.3764254048,2106.25637135203,7326.56883430929,659880.107142858,0.625760515059252,127.902183177913,162.698978454062,49.2196541874582,291.68502717478,371.040233814222,112.246998546005,1.4
South Carolina,SC,South Carolina SC,45,South,South Atlantic,5059020,0.735865389236688,0.0773501222468804,0.0578324270328718,0.0192036955257595,0.0126357062711973,2316.00191341406,4459.26286118655,-512.915544907907,6532.84628248159,2141422.35714285,0.423287980111337,44.4757955822801,85.6343262555538,-9.84987395484048,179.143031126587,344.924527443754,-39.6740801009519,1.5
South Dakota,SD,South Dakota SD,46,Midwest,West North Central,875181,0.600727777922597,0.0744749282716793,0.0563078516136364,0.0160814384463799,0.0154544574418379,991.966233270603,2449.2647806568,-204.52912026198,2857.06613831882,435271.357142857,0.497350099171322,15.9522439212285,39.3877008090185,-3.28912245798526,73.8766140707561,182.408818857766,-15.2322915609806,1.5
Tennessee,TN,Tennessee TN,47,South,East South Central,6724995,0.673920560400707,0.0800152586663743,0.0646421221112689,0.015965636021417,0.0154754596190356,2346.7006295172,4471.25239498319,159.375583178872,5505.92974418568,2728353.46428572,0.405703419004135,37.4665681021016,71.3863882981905,2.54453255173494,187.771857883362,357.768416947226,12.7524785131617,2
Texas,TX,Texas TX,48,South,West South Central,28585179,0.756579687212883,0.114074170744968,0.0951415897844707,0.0185641133307132,0.017558564909176,1991.29241065798,4528.78395479,-535.964808896247,4814.53518272529,13242223.8571428,0.463254886636981,36.9665779860438,84.0728585870368,-9.94971145362394,227.155030456559,516.617274125787,-61.1397411233248,1.5
Utah,UT,Utah UT,49,West,Mountain,3151213,0.728096306807149,0.048013820385068,0.0569707132092146,0.00595878921409078,0.00760158360257825,4460.23483655342,6424.85925261161,281.986650854766,3961.28411503761,1472449.10714286,0.467264227185804,26.5775992363665,38.2843820165135,1.68029901363096,214.152914317499,308.482038154236,13.5392564051276,1.4
Vermont,VT,Vermont VT,50,Northeast,New England,623553,0.942723070317224,0.0546002912015531,0.0465517109889188,0.0167440893018096,0.00688666366693868,4925.64385064301,9412.03073355432,783.333573890271,2836.24647784551,451005,0.723282543745279,82.4754205040759,157.59588311401,13.1162073143244,268.941588600247,513.899618850033,42.7702412423621,1.2
Virginia,VA,Virginia VA,51,South,South Atlantic,8440732,0.81403582117069,0.0759049656114473,0.0677870516788336,0.0135811595139789,0.0125366517368527,2878.30486739776,5819.59597816872,-75.9886701769467,4494.56871749986,4804276.99999999,0.569177767994528,39.0907175339907,79.0368612864192,-1.03201425092824,218.477631979088,441.736232595414,-5.76791739664075,1.3
Washington,WA,Washington WA,53,West,Pacific,7517922,0.864498402768487,0.0465050168239124,0.0494434349305009,0.00860417168281614,0.0108779944019678,3202.48068548729,8583.40243487496,-700.938371001987,2917.71449610677,4416360.39285714,0.587444295492444,27.5546936288354,73.8530681723662,-6.03099408317457,148.931418156841,399.171274640271,-32.5971507359732,0.8
West Virginia,WV,West Virginia WV,54,South,South Atlantic,1784520,0.825440280090636,0.0872356459049999,0.0744685804496141,0.020656506027914,0.0154845394807347,4374.62174702441,7191.73783426355,745.29845560711,5197.0838096519,743700.285714285,0.416750882990544,90.3644004872533,148.556175924642,15.3952620408432,381.622953691734,627.375895151406,65.0165921668851,1.3
Wisconsin,WI,Wisconsin WI,55,Midwest,East North Central,5791726,0.644173276825616,0.0815883252100215,0.0890444642754859,0.00986610134544333,0.0132574993704416,2464.52439221054,5340.59276975465,-213.476949703767,3464.69256314957,3026672.46428571,0.522585575402861,24.3152474218663,52.6908295111412,-2.10618522069347,201.076417599704,435.730019713032,-17.4172267972744,1.4
Wyoming,WY,Wyoming WY,56,West,Mountain,572924,0.749624824591375,0.0705559385363426,0.0743772992645929,0.0099366518051992,0.018068778623498,2361.74431512731,4412.36533990547,151.590786910655,2702.71449616354,219239.392857143,0.382667496661238,23.4678309123288,43.8441380199701,1.50630486640733,166.635086736679,311.318577722259,10.695630243944,1
